"player_name","age","player_height","player_weight","gp","pts","reb","ast","net_rating","oreb_pct","dreb_pct","usg_pct","ts_pct","ast_pct","season"
"Kenny Satterfield",22,187.96,77.11064,39,3.4,1.1,1.7,-10.4,0.034,0.073,0.209,0.34,0.256,"2002-03"
"Kenny Thomas",25,200.66,111.13004,66,10.1,8,1.7,2.3,0.108,0.205,0.172,0.517,0.091,"2002-03"
"Kenyon Martin",25,205.74,106.140528,77,16.7,8.3,2.4,7.3,0.073,0.208,0.247,0.511,0.126,"2002-03"
"Keon Clark",28,210.82,100.243832,80,6.7,5.6,1,6.2,0.088,0.176,0.152,0.528,0.07,"2002-03"
"Kerry Kittles",29,195.58,81.64656,65,13,3.9,2.6,5.4,0.03,0.117,0.191,0.55,0.15,"2002-03"
"Kevin Garnett",27,210.82,99.79024,82,23,13.4,6,6.8,0.086,0.282,0.262,0.553,0.249,"2002-03"
"Kevin Ollie",30,187.96,88.45044,82,6.5,2.2,3.5,5.2,0.016,0.097,0.15,0.514,0.252,"2002-03"
"Kevin Willis",40,213.36,111.13004,71,4.2,3.2,0.3,-6,0.116,0.206,0.196,0.506,0.051,"2002-03"
"Keyon Dooling",23,190.5,88.904032,55,6.4,1.3,1.6,-6.1,0.011,0.074,0.199,0.494,0.168,"2002-03"
"Kobe Bryant",24,200.66,97.52228,82,30,6.9,5.9,3.7,0.035,0.152,0.329,0.55,0.268,"2002-03"
"Lamar Odom",23,208.28,100.243832,49,14.6,6.7,3.6,-6.7,0.039,0.18,0.22,0.519,0.184,"2002-03"
"Marko Jaric",24,200.66,89.811216,66,7.4,2.4,2.9,1.4,0.03,0.104,0.198,0.498,0.237,"2002-03"
"Morris Peterson",25,200.66,97.52228,82,14.1,4.4,2.3,-6,0.036,0.108,0.203,0.488,0.11,"2002-03"
"Nazr Mohammed",25,208.28,113.398,35,4.6,3.7,0.2,-12.3,0.111,0.202,0.201,0.452,0.024,"2002-03"
"Nene",20,210.82,117.93392,80,10.5,6.1,1.9,-7,0.108,0.156,0.191,0.545,0.119,"2002-03"
"Nick Van Exel",31,185.42,88.45044,73,12.5,2.8,4.3,6,0.019,0.095,0.229,0.509,0.252,"2002-03"
"Nikoloz Tskitishvili",20,213.36,102.0582,81,3.9,2.2,1.1,-9.8,0.053,0.107,0.167,0.374,0.113,"2002-03"
"Othella Harrington",29,205.74,106.59412,74,7.7,6.4,0.8,-1.6,0.104,0.207,0.151,0.563,0.053,"2002-03"
"Pat Burke",29,210.82,113.398,62,4.3,2.4,0.4,-11.9,0.076,0.135,0.208,0.415,0.056,"2002-03"
"Pat Garrity",26,205.74,107.954896,81,10.7,3.8,1.5,2.2,0.031,0.107,0.151,0.551,0.073,"2002-03"
"Pau Gasol",22,213.36,102.965384,82,19,8.8,2.8,-2.6,0.074,0.197,0.239,0.57,0.131,"2002-03"
"Paul Pierce",25,198.12,104.32616,79,25.9,7.3,4.4,2.7,0.038,0.179,0.329,0.532,0.236,"2002-03"
"Peja Stojakovic",26,208.28,103.872568,72,19.2,5.5,2,8.2,0.028,0.137,0.223,0.6,0.089,"2002-03"
"Predrag Drobnjak",27,210.82,123.377024,82,9.4,3.9,1,-3,0.063,0.13,0.211,0.459,0.074,"2002-03"
"Quentin Richardson",23,198.12,107.047712,59,9.4,4.8,0.9,-5.9,0.079,0.151,0.22,0.46,0.072,"2002-03"
"Qyntel Woods",22,203.2,100.243832,53,2.4,1,0.2,-8.6,0.051,0.146,0.208,0.505,0.064,"2002-03"
"Raef LaFrentz",27,210.82,111.13004,69,9.3,4.8,0.8,7.7,0.085,0.142,0.168,0.578,0.05,"2002-03"
"Moochie Norris",29,187.96,83.91452,82,4.4,1.9,2.4,-0.1,0.032,0.101,0.159,0.47,0.239,"2002-03"
"P.J. Brown",33,210.82,108.408488,78,10.7,9,1.9,2.4,0.107,0.209,0.139,0.592,0.09,"2002-03"
"Matt Harpring",27,200.66,104.779752,78,17.6,6.6,1.7,5.2,0.095,0.144,0.237,0.588,0.095,"2002-03"
"Milt Palacio",25,190.5,88.45044,80,5,2.9,3.2,-11.5,0.026,0.11,0.124,0.466,0.211,"2002-03"
"Maurice Taylor",26,205.74,117.93392,67,8.4,3.6,1,-0.1,0.086,0.124,0.237,0.472,0.091,"2002-03"
"Mehmet Okur",24,210.82,112.944408,72,6.9,4.7,1,4.3,0.099,0.194,0.19,0.514,0.094,"2002-03"
"Melvin Ely",25,208.28,117.93392,52,4.5,3.3,0.3,3.4,0.094,0.154,0.153,0.54,0.03,"2002-03"
"Metta World Peace",23,200.66,111.583632,69,15.5,5.2,2.9,7.6,0.051,0.122,0.223,0.529,0.144,"2002-03"
"Michael Curry",34,195.58,95.25432,78,3,1.6,1.3,-1.2,0.012,0.088,0.094,0.474,0.113,"2002-03"
"Michael Doleac",26,210.82,118.841104,75,4.4,2.9,0.6,-5.3,0.076,0.173,0.187,0.451,0.068,"2002-03"
"Michael Bradley",24,208.28,102.0582,67,5,6.1,1,-8.9,0.136,0.233,0.146,0.492,0.083,"2002-03"
"Michael Jordan",40,198.12,97.975872,82,20,6.1,3.8,0,0.028,0.167,0.288,0.491,0.207,"2002-03"
"Mike Wilks",24,177.8,83.91452,46,3.2,1.5,2,-1.5,0.036,0.086,0.137,0.436,0.22,"2002-03"
"Mike Miller",23,203.2,98.883056,65,15.6,5.2,2.6,2.2,0.023,0.157,0.219,0.537,0.131,"2002-03"
"Michael Finley",30,200.66,102.0582,69,19.3,5.8,3,12.6,0.044,0.122,0.24,0.514,0.124,"2002-03"
"Mike Dunleavy",22,205.74,100.243832,82,5.7,2.6,1.3,2.5,0.055,0.123,0.176,0.505,0.125,"2002-03"
"Mike Bibby",25,185.42,86.18248,55,15.9,2.7,5.2,8.6,0.022,0.061,0.217,0.559,0.231,"2002-03"
"Mike James",28,187.96,86.18248,78,7.8,1.9,3.2,-3,0.017,0.086,0.207,0.469,0.266,"2002-03"
"Michael Stewart",28,208.28,104.32616,47,0.8,1.2,0.1,-12,0.083,0.156,0.094,0.426,0.044,"2002-03"
"Michael Redd",23,198.12,97.52228,82,15.1,4.5,1.4,2.6,0.05,0.14,0.224,0.59,0.089,"2002-03"
"Michael Olowokandi",28,213.36,122.46984,36,12.3,9.1,1.3,-4.8,0.047,0.215,0.193,0.457,0.064,"2002-03"
"Mike Batiste",25,203.2,102.0582,75,6.4,3.4,0.7,-6.2,0.077,0.165,0.211,0.476,0.074,"2002-03"
